id,category,title,content
1,课程安排,Python基础课时间,Python基础课每周一和周三晚上七点到九点上课，主要讲解变量、条件判断、循环、函数和面向对象基础。
2,课程安排,人工智能导论时间,人工智能导论每周二下午两点到四点上课，课程内容包括机器学习基础、神经网络、自然语言处理和大模型应用。
3,课程安排,数据库课程时间,数据库系统课程每周五上午十点到十二点上课，主要学习SQL语句、表设计、索引、事务和数据库优化。
4,考试安排,Python期末考试,Python基础课的期末考试安排在第十八周周三晚上七点，考试形式为上机编程，题型包括选择题、代码填空和编程题。
5,考试安排,人工智能导论期末考试,人工智能导论期末考试安排在第十八周周二下午两点，考试形式为闭卷笔试，重点考查机器学习概念和大模型应用场景。
6,考试安排,数据库期末考试,数据库系统期末考试安排在第十八周周五上午十点，考试形式为闭卷笔试，重点包括SQL查询、关系模型、事务和索引。
7,作业要求,Python作业提交要求,Python作业需要在学习平台提交.py文件，文件名格式为学号加姓名，例如20230001张三.py，逾期提交会扣除百分之二十的分数。
8,作业要求,人工智能导论作业要求,人工智能导论作业以报告形式提交，需要包含问题背景、方法介绍、实验结果和个人总结，字数不少于1500字。
9,作业要求,数据库作业要求,数据库作业需要提交SQL脚本文件和实验报告，SQL脚本应能独立运行，实验报告需要说明表结构设计和查询结果。
10,课程资料,Python课程资料位置,Python课程资料存放在学习平台的Python基础课专区，包括课件、示例代码、课后练习和实验说明。
11,课程资料,人工智能导论资料位置,人工智能导论课程资料位于学习平台的AI导论专区，包含课件、论文阅读材料、实验数据集和课程通知。
12,课程资料,数据库资料位置,数据库系统课程资料位于学习平台的数据库系统专区，包含SQL练习、实验指导书、复习提纲和历年样题。
13,教师信息,Python课程教师,Python基础课由李老师负责，李老师的答疑时间是每周四下午三点到五点，地点在信息楼305办公室。
14,教师信息,人工智能导论教师,人工智能导论由王老师负责，王老师主要研究自然语言处理和大模型应用，答疑时间是每周三下午两点到四点。
15,教师信息,数据库课程教师,数据库系统由赵老师负责，赵老师的答疑地点在信息楼402办公室，答疑时间是每周二上午十点到十二点。
16,请假制度,课程请假规则,学生如果因为生病、比赛或实习面试无法上课，需要提前向任课老师说明原因，并在学习平台提交请假申请。
17,成绩构成,Python成绩构成,Python基础课总成绩由平时作业、实验成绩、课堂表现和期末上机考试组成，其中期末考试占百分之五十。
18,成绩构成,人工智能导论成绩构成,人工智能导论总成绩由课程报告、课堂展示、平时作业和期末考试组成，其中课程报告占百分之三十。
19,成绩构成,数据库成绩构成,数据库系统总成绩由实验报告、平时作业、课堂测验和期末考试组成，其中期末考试占百分之六十。
20,实验安排,Python实验内容,Python实验包括文件读写、面向对象编程、异常处理、简单爬虫和数据分析入门，学生需要独立完成实验代码。
21,实验安排,人工智能实验内容,人工智能导论实验包括文本分类、图像识别、简单推荐系统和大模型API调用，要求学生理解模型输入和输出。
22,实验安排,数据库实验内容,数据库实验包括创建数据表、插入数据、编写SQL查询、建立索引、设计事务和分析查询性能。
23,校园服务,图书馆开放时间,学校图书馆周一到周五早上八点开放，晚上十点关闭，周末开放时间为早上九点到晚上九点。
24,校园服务,自习室开放时间,信息楼自习室每天早上七点开放，晚上十一点关闭，考试周期间部分自习室会延长开放时间。
25,校园服务,校园网问题处理,如果校园网无法连接，学生可以先检查账号密码是否正确，再尝试重新登录认证页面，仍然无法解决可以联系网络中心。
